"Timestamp","Do you play video games?","Are you from Chennai or ever resided in Chennai?","Do you like playing Video Games?","How corona impacted playing video games?","1. Gender","2. Age","3. How many days do you play games per week?","4. On an average, how many hours do you play per day?","5. What is genre you prefer for gaming?","6. What game-mode do you prefer?","7. What sort of game would you like to go for?","8. How much will you spend on gaming devices? ","9. On an average, how much will you spend for computer games per month?","10. Why do you play games?","11. Which device you usually use for gaming","12. If you are a PC/Laptop gamer, which PC game store would you prefer?","13. What CPU (Microprocessor) series would you prefer for PC/Laptop gaming?","14. What GPU series would you prefer for PC/Laptop gaming?","15. If you are a Playstation gamer, what device you are currently using?","16. If you are a Xbox gamer, what device you are currently using?","17. If you are a Mobile gamer, what OS would you prefer to play games?","18. Amongst some of top rated mobile games, rate them in order of time played? [BGMI]","18. Amongst some of top rated mobile games, rate them in order of time played? [Call of Duty: Mobile]","18. Amongst some of top rated mobile games, rate them in order of time played? [Clash of Clans]","18. Amongst some of top rated mobile games, rate them in order of time played? [Among Us]","18. Amongst some of top rated mobile games, rate them in order of time played? [Fortnite]","18. Amongst some of top rated mobile games, rate them in order of time played? [Asphalt 9: Airborne]","18. Amongst some of top rated mobile games, rate them in order of time played? [Ludo King]","18. Amongst some of top rated mobile games, rate them in order of time played? [Carrom Pool]","19. Are you a Game developer (or aspiring to be one)","20. On a scale of 1-10 how much are u open to recommend gaming to a friend","21. Are you open to gaming as a career? Why so?"
"2021/08/07 9:35:09 PM GMT+5:30","Yes","Yes","Yes","Started playing more games","Female","18-25","1-3 days","Less than 2 hours","Racing game;Sports game","Online gaming","Paid game","<₹25000","₹100-₹1000","Entertainment","PC","Uplay","Intel Microprocessor Series","Intel UHD Series","I'm not a Playstation gamer","I'm not a Xbox gamer","I'm not a mobile gamer","1","1","1","2","2","3","4","5","No","8","No"
"2021/08/07 9:36:20 PM GMT+5:30","Yes","Yes","Yes","Started playing more games","Male","18-25","4-5 days","2-6 hours","Action game;Racing game;Board game;Sports game;Puzzle game","Online gaming","Free game","<₹25000","<₹100","Stress-buster","Mobile","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","PS4","I'm not a Xbox gamer","Android","3","2","1","1","1","1","1","1","No","7","No"
"2021/08/07 9:36:34 PM GMT+5:30","No","No","Maybe","Still not interested in gaming","Male","18-25","0","2-6 hours","Puzzle game","Online gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","Other","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","4","3","4","3","4","3","4","4","No","1","No"
"2021/08/07 9:37:26 PM GMT+5:30","Yes","Yes","Yes","Corona didn't impact my gaming as I already am an hardcore gamer","Male","18-25","6-7 days","2-6 hours","Action game;Racing game;Role-playing game","Online gaming","Freemium (in-app purchases) games","<₹25000","₹100-₹1000","Stress-buster","Laptop","Steam","Intel Microprocessor Series","Nvidia GPUs","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","4","4","4","3","1","1","2","4","No","10","Yes. I think people do not have much knowledge about gaming
As far as I concern, gaming is a very big platform for many to choose as a career"
"2021/08/07 9:37:48 PM GMT+5:30","Yes","Yes","Yes","Still not interested in gaming","Female","18-25","1-3 days","Less than 2 hours","Action game;Racing game;Board game","Online gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","iOS","1","5","1","5","1","1","5","1","No","5","I play games only for entertainment "
"2021/08/07 9:38:33 PM GMT+5:30","Yes","Yes","Yes","Started playing more games","Male","18-25","6-7 days","2-6 hours","Action game","Online gaming","Freemium (in-app purchases) games","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","PS2","I'm not a Xbox gamer","Android","5","1","1","4","5","5","3","3","No","8","No"
"2021/08/07 9:40:26 PM GMT+5:30","Yes","Yes","Yes","Still not interested in gaming","Male","18-25","0","Less than 2 hours","Action game;Racing game;Role-playing game","Offline gaming","Free game","<₹25000","<₹100","Stress-buster","PC","Epic Games","AMD Ryzen Series","Intel UHD Series","PS2","I'm not a Xbox gamer","Android","2","1","3","1","1","1","2","4","No","5","No"
"2021/08/07 9:41:46 PM GMT+5:30","No","Yes","Maybe","Still not interested in gaming","Female","18-25","0","Less than 2 hours","Puzzle game","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","I'm not a Playstation gamer","I'm not a Xbox gamer","I'm not a mobile gamer","1","1","4","1","2","1","4","3","Yes","4","No "
"2021/08/07 9:41:50 PM GMT+5:30","Yes","No","Yes","Started playing more games","Male","18-25","4-5 days","Less than 2 hours","Action game;Racing game;Board game;Role-playing game","Online gaming","Free game","<₹25000","<₹100","Stress-buster","Mobile","I'm not a PC Gamer","AMD Ryzen Series","Nvidia GPUs","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","4","3","3","3","3","4","3","3","No","8","Yes ,because i like it"
"2021/08/07 9:42:10 PM GMT+5:30","No","No","No","Still not interested in gaming","Female","18-25","0","Less than 2 hours","Sports game","Online gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","Other","Intel Microprocessor Series","Intel UHD Series","I'm not a Playstation gamer","I'm not a Xbox gamer","I'm not a mobile gamer","1","1","1","1","1","1","1","1","No","1","No i am not interested in gaming ."
"2021/08/07 9:43:02 PM GMT+5:30","No","Yes","No","Still not interested in gaming","Female","18-25","0","Less than 2 hours","Role-playing game","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","1","1","1","1","1","1","4","1","No","1","No. I am not very interested in this area . "
"2021/08/07 9:43:37 PM GMT+5:30","No","No","No","Still not interested in gaming","Female","<18","0","Less than 2 hours","Nil","Offline gaming","Free game","<₹25000","<₹100","Stress-buster","Mobile","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","1","1","1","1","1","1","1","1","No","1","No"
